Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-107124473.83296905,-1.1199990923593233,0.00844349477449436,-2.7775444166877605e-09,-8.488125635003341e-08
-107124377.84256808,-1.1199997127699683,0.008443512913659202,-2.2379119246629386e-07,-8.524177684716971e-08
-107124235.80096911,-1.1199996900041926,0.00844400195934417,3.898645399846856e-07,3.7654853949145584e-07
-107124102.83136816,-1.1200007748558347,0.008443762206791524,-1.419636563859683e-07,1.1141097630736063e-07
-107123710.83456926,-1.120002631263746,0.008444210379785572,-3.6877152531644697e-07,4.854813285548598e-07
-107123537.7753693,-1.1200031716160455,0.008443917446500466,-1.9003335904876906e-07,1.6018314291134372e-07
-107044434.77379042,-1.1203198983297415,0.008427506622582386,1.637211568539243e-07,1.1085074285571705e-08
-107044077.85539052,-1.1203220230938027,0.00842726507432294,-4.594758011844391e-07,-3.7514172171460025e-08
-107043834.81218958,-1.1203225986647418,0.008427521362351543,-1.2005800575920489e-08,3.505136914726953e-07
-107043477.80739067,-1.120324263808627,0.008427144004240298,-1.736136432395341e-07,1.6718276898801399e-07
-107043232.77699076,-1.1203253665321629,0.008426808824458665,-2.4384294516899274e-07,-3.447205200110548e-08
-107042847.77858986,-1.1203268260747203,0.008426787438304344,-8.022587238976087e-08,1.5452157460689453e-07
-106943507.823416,-1.1207844303959638,0.00835177731197842,2.6237938244300096e-07,2.06447657941089e-07
-106943437.83941701,-1.1207849800554506,0.00835069670069769,7.742891749984437e-08,-8.221104379150385e-07
-106943287.84901705,-1.120785885610114,0.008351409555168882,-4.6373268114408006e-08,2.2371902056589343e-09
-106943132.84741607,-1.1207863230699475,0.008351294463280824,3.241865338399208e-07,2.2666112996921894e-09
115010831.21956004,-0.8516490274119807,-9.680526873914043e-05,4.56438002061077e-07,3.7403907924425564e-07
115011236.17636095,-0.8516522957609717,-9.738439912506716e-05,-3.328035278471475e-07,-8.223043565005735e-08
115011596.20515987,-0.8516542570945755,-9.717716656149929e-05,-8.984060639871672e-08,2.3281792420863515e-07
115011776.17635985,-0.851655471499909,-9.662864366232155e-05,-2.0228859620718964e-07,8.347385529577358e-07
115012076.15716077,-0.8516572056039552,-9.714177074194452e-05,-9.952354140807529e-08,4.0988203130887376e-07
115014602.14756025,-0.8516724278926139,-9.788663375514137e-05,1.483160251281035e-07,3.723562808739735e-07
179204605.18733704,-0.7785526481737257,-0.002462769868683723,4.418100822967119e-07,1.0818064748435025e-07
179204718.198537,-0.7785531340515752,-0.0024629242348077483,4.159607508436025e-07,-1.12103919023155e-07
179205319.19693792,-0.7785557059145911,-0.002462738708987716,2.881121340392312e-07,-2.7605668994614904e-07
179205438.16973788,-0.7785565105347341,-0.0024620334954724554,-3.318466468282821e-08,3.6019292472440345e-07
179207769.15533656,-0.7785658597185765,-0.00246132752562921,5.358675059241591e-08,-2.6968826626451795e-07
179208069.2225365,-0.7785674126370894,-0.002461862679941332,-2.893977754103716e-07,-9.745897018549957e-07
179208199.16813746,-0.7785674552592912,-0.0024612913577123237,1.9160407971341442e-07,-4.7661344614166254e-07
179208428.21453744,-0.7785686839571406,-0.0024610133125886904,-1.1464528459903534e-07,-3.27606748896838e-07
179208489.21293744,-0.7785688839706949,-0.0024609515311498774,-6.910709715590713e-08,-3.001373719423335e-07
179208669.1841374,-0.7785695792991111,-0.002460838236892517,-4.022347876997401e-08,-2.8794803146482e-07
179208728.1953374,-0.7785696459702992,-0.0024608176430962773,1.3048103109092324e-07,-3.0046322743986636e-07
179208908.16653737,-0.778570531874138,-0.0024608484490232477,-3.174813889561534e-08,-4.3211372199565903e-07
179209028.17613736,-0.7785708271754007,-0.0024608587177181907,1.552903997614763e-07,-5.095183684034228e-07
179209089.17453635,-0.7785711699695345,-0.0024605498675191644,5.759019872098037e-08,-2.3475809781282192e-07
179209148.18573636,-0.7785715894768696,-0.0024614351179780623,-1.248524437169607e-07,-1.1529660931884449e-06
179209208.14733732,-0.7785717605720629,-0.002460570405050425,-5.5109893093430173e-08,-3.2171946483857544e-07
179209269.1457363,-0.7785710223188976,-0.0024605447331526014,9.280987730564405e-07,-3.30069683916398e-07
179209328.15693632,-0.7785723368663228,-0.0024605446207839688,-1.4951804172547156e-07,-3.6284907371179204e-07
179209389.1553363,-0.7785727180169429,-0.0024608328210677178,-2.858057426280425e-07,-6.850259538860107e-07
179209458.1889363,-0.7785727700782984,-0.0024600556175612496,-6.080573533573386e-08,5.3753311015855565e-08
179209579.14893627,-0.7785722936399736,-0.002459695367195853,9.009509694957174e-07,3.4674911049588364e-07
179209699.15853727,-0.7785738989203085,-0.002460163608924268,-2.2300807134278955e-07,-1.8812772401835196e-07
179209818.21773723,-0.7785739561531583,-0.002460348896564321,1.9708721643585392e-07,-4.3943269189801806e-07
179209938.14093724,-0.7785748514951604,-0.0024601738223038612,-2.1764578084226827e-07,-3.30763675630754e-07
179210059.1873362,-0.7785758990565314,-0.0024595457982620494,-7.802834866010855e-07,2.3032643822534435e-07
179210179.19693616,-0.7785751276183884,-0.0024598855662111203,4.717392128039677e-07,-1.7570914755691072e-07
