Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-143962815.61531922,-1.1320657405411618,0.00965068457718276,-1.1809725883882294e-06,-4.354269197495708e-07
-143962754.27132022,-1.132065991007023,0.009650733846685315,-1.127005607948206e-06,-3.601706093769169e-07
-143962706.75131923,-1.132066248242183,0.009650696143459318,-1.1483936717127108e-06,-3.7776870492542414e-07
-143962661.82332024,-1.1320664468358648,0.009650649628191404,-1.1239896002823713e-06,-4.0529595079531744e-07
-143962615.16732028,-1.132066691666131,0.009650659597164185,-1.1372298458489638e-06,-3.756296937662551e-07
-143794663.9353716,-1.1329026372101123,0.009694116812271326,-6.477872238619398e-07,-8.250892831115908e-08
-143794487.67937168,-1.1329035185138998,0.009694041304574833,-7.219602533581337e-07,-2.946886180823366e-07
-143794408.1913707,-1.1329038865694334,0.009694194211815827,-7.26126084593659e-07,-2.034551545068014e-07
-143794355.48737073,-1.1329040774082046,0.009694138533735252,-6.757282136060638e-07,-3.00038376133821e-07
-143794301.05537173,-1.1329042321113607,0.009694321328200903,-5.813172807567213e-07,-1.5950083666338433e-07
-143794248.35137177,-1.1329046876094742,0.009694166270661988,-7.956406995468512e-07,-3.5548407995890374e-07
-143794194.78337178,-1.1329047995957078,0.009694292645278782,-6.625299071583157e-07,-2.7071640283649057e-07
-143794142.0793718,-1.1329050206664337,0.009694341106410745,-6.424877125876804e-07,-2.632012579186632e-07
-143794088.5113708,-1.132905388577065,0.009694415789690913,-7.653642655203186e-07,-2.3014547453382994e-07
-143794034.94337183,-1.132905661110266,0.009694473012144674,-7.928952543423406e-07,-2.1456083330352593e-07
-143793982.23937082,-1.1329059386130527,0.00969448254068376,-8.293786402102654e-07,-2.460085703672593e-07
-143793928.67137086,-1.1329060029220437,0.009694600217673825,-6.487488632966887e-07,-1.699897723105026e-07
-143793875.1033719,-1.1329063318869548,0.009694618507816236,-7.32807118541956e-07,-1.9336804817082776e-07
-143793822.3993719,-1.1329066483520387,0.009694684479915108,-8.083470655062541e-07,-1.684022487655895e-07
-143793768.8313719,-1.1329067086503457,0.009694555003929317,-6.238026573068822e-07,-3.395668526692125e-07
-143704540.95939952,-1.133262940386151,0.009753114955171263,-1.04077453788598e-06,-4.5989706067527114e-07
-143704457.15139854,-1.1332632717094238,0.00975360243857435,-1.0659337175145112e-06,-9.080550221474137e-09
-143704412.22339854,-1.1332630116994002,0.009752878750336444,-6.418193776447367e-07,-7.524085568286903e-07
-143704364.7033986,-1.1332634121517047,0.009753456766428543,-8.687187604827784e-07,-1.9515258146626802e-07
-143704318.04739857,-1.133263722743528,0.00975342758522805,-1.0089321635931014e-06,-2.447037052624029e-07
-143704272.2553996,-1.1332640033259698,0.009753541457196115,-1.1223096816337375e-06,-1.508121489669778e-07
-143704225.5993996,-1.1332640498900222,0.009753069677350856,-9.98532717844114e-07,-6.429368544676184e-07
-143704178.94339862,-1.1332643423977624,0.009753677927072294,-1.1207183725492342e-06,-5.5019316521146e-08
-143704133.15139964,-1.1332640983576538,0.009753695809315323,-7.095287473113387e-07,-5.7080388714270125e-08
-143704087.35939866,-1.1332641323636254,0.009753271712965928,-5.764035075905838e-07,-5.011078053496903e-07
-143704040.70339867,-1.1332646290368396,0.009753572333974066,-9.028109668740569e-07,-2.2078130550856612e-07
-143703994.0473987,-1.1332649873054135,0.009753551913112132,-1.0908328724745786e-06,-2.6148392216242267e-07
-143703949.1193997,-1.1332651861198704,0.009753552963037317,-1.1257241712137045e-06,-2.799525035662026e-07
-143703901.59939873,-1.1332653661652115,0.009753449971941119,-1.1324085777975057e-06,-4.035752665838832e-07
-143703854.94339973,-1.133265281792297,0.009753693569813269,-8.778461306757634e-07,-1.802210089964923e-07
-142496935.93578213,-1.1388444400670257,0.009676679807039842,-1.8874097773569076e-07,-9.756274307916313e-07
-142496842.62378216,-1.1388448828835687,0.009676624521248794,-1.3816079635908807e-07,-9.62088322726054e-07
-142496795.10378215,-1.1388451282890275,0.009676625062071939,-1.3226474515626307e-07,-9.265120386042769e-07
-142496747.5837822,-1.1388453259803004,0.009676616980803306,-7.863119000361962e-08,-8.995674634568185e-07
-142496701.7917822,-1.1388456923818089,0.009676443933289766,-2.0282494350709612e-07,-1.0388718971101468e-06
-142496653.4077832,-1.1388458295620936,0.00967652265981461,-8.406418761097711e-08,-9.245020051191349e-07
-142496605.88778222,-1.1388462439610947,0.009676405975712869,-2.4706914558692006e-07,-1.0061889239316307e-06
-142496560.09578326,-1.138846328664944,0.009676428346362096,-8.949870489161071e-08,-9.501028069534845e-07
-142496511.71178326,-1.1388466911794761,0.009676350762503418,-1.9600204659298015e-07,-9.92072464043453e-07
