Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-106943437.75301701,-1.1207847608492485,0.00835149411453942,2.970853969497256e-07,-2.4632345579922443e-08
-106943287.41701604,-1.1207857564491395,0.008350990632548745,8.503950810201388e-08,-4.1636444158416053e-07
115011235.83076096,-0.8516520555133172,-9.755385578277465e-05,-9.467172790156297e-08,-2.51791226726141e-07
115011596.11876088,-0.8516540169946103,-9.70944810437836e-05,1.4973035200593898e-07,3.154777278268066e-07
115011775.83076085,-0.8516556044943996,-9.734695884150688e-05,-3.373992210065069e-07,1.163211510976284e-07
115014601.97475925,-0.8516726145867155,-9.8034993145796e-05,-3.943642823411864e-08,2.239506723009598e-07
179204604.15053803,-0.7785529906613007,-0.002461750728623405,9.510139920010374e-08,1.1279257569243167e-06
179204718.198537,-0.7785527863873539,-0.002462980883656462,7.636249721443278e-07,-1.687527677366428e-07
179207768.98253655,-0.778566064299628,-0.0024608076593816432,-1.5169138523063452e-07,2.502758847653698e-07
179208068.7905375,-0.7785667596281466,-0.002460694364529439,3.6187005270083006e-07,1.9396971174569233e-07
179208199.25453648,-0.778568459894832,-0.002460524365637166,-8.126833802579725e-07,2.903298953324182e-07
179208429.07853645,-0.7785686885249792,-0.0024605552279621545,-1.1573473435166903e-07,1.2999171608357382e-07
179208489.55853644,-0.7785690504975048,-0.0024605449026850923,-2.342428149226805e-07,1.0629675429750171e-07
179208669.2705374,-0.7785692170243744,-0.0024601382742255543,3.2239883840379235e-07,4.1196614428661016e-07
179209029.55853635,-0.7785716795926282,-0.0024605446769026262,-6.915717762900897e-07,-1.962503819730177e-07
179209148.79053634,-0.7785715176337517,-0.0024604932206137397,-5.057990026813286e-08,-2.1140639631543265e-07
179209209.27053732,-0.778571493585475,-0.002459942492193002,2.1638763181286436e-07,3.055667145415372e-07
179209268.88653633,-0.7785712363388774,-0.002459818985873612,7.130380055286878e-07,3.958221161349737e-07
179209329.3665373,-0.7785728988523375,-0.0024604725147123374,-7.066479561501637e-07,-2.9141698494996107e-07
179209388.9825363,-0.7785717222155726,-0.0024599733547289843,7.093020315540599e-07,1.7453660299199605e-07
179209458.1025363,-0.7785732937081826,-0.0024593864612230776,-5.84782342105683e-07,7.229577209566691e-07
179209579.06253627,-0.7785725603248201,-0.0024596129922400066,6.33919533421512e-07,4.29172072385995e-07
179209699.15853727,-0.7785742654612865,-0.0024596951996094405,-5.89549049356819e-07,2.802815908089021e-07
179210059.44653618,-0.7785751081393856,-0.0024588767531567644,1.1671837829574372e-08,8.992283169685818e-07
179210179.54253718,-0.7785755465225521,-0.002459350241441009,5.4218758815949286e-08,3.5942492065564255e-07
179210298.77453718,-0.7785766704947791,-0.0024592060304941673,-5.924667757506441e-07,4.3789003538550336e-07
179210768.7905371,-0.7785785567671979,-0.0024596382218022286,-5.990492278895587e-07,-2.525694131052733e-07
179210829.27053708,-0.7785787756580963,-0.0024591646783016143,-5.762761579042319e-07,1.8784672132544922e-07
179210888.88653708,-0.7785784754873947,-0.0024589022056293076,-3.794037650717286e-08,4.176890496497554e-07
179211139.446536,-0.7785798472671182,-0.0024590873839797343,-4.0924270494624437e-07,9.562806865945003e-08
179211489.36653697,-0.778580975508765,-0.0024577748020443487,-1.416394591613468e-07,1.2177540210604049e-06
209180772.21004492,-0.7310192067889185,-0.0036161573442943366,4.0860168626366544e-07,-6.767358504814781e-07
209181097.16044584,-0.7310209467494868,-0.003615391338082439,1.8432372039800526e-07,-5.1293759593517424e-08
209181335.1924448,-0.7310219693070947,-0.0036153666304533177,2.717668795559902e-07,-1.2919427423143878e-07
209182356.18124557,-0.7310267409567994,-0.0036150985760973323,2.585993038595191e-07,-2.977733012513896e-07
209182681.21804446,-0.731028311631306,-0.0036149477155386603,2.0187809024463377e-07,-2.847131103625618e-07
209183151.14764535,-0.7310303567455857,-0.0036148983049160218,3.4476528298910125e-07,-4.3348369494671316e-07
209183606.21644425,-0.7310323641668329,-0.0036145044290611405,4.5518775015906954e-07,-2.303270797998115e-07
209183965.20844418,-0.7310341128626848,-0.0036144488982304108,3.7651356032952776e-07,-3.244091520255253e-07
209184205.14124513,-0.7310349942368312,-0.003614215065535843,6.109530472642177e-07,-1.9015255216074667e-07
209184446.19724405,-0.7310364833533453,-0.003614039611541804,2.4258785313868714e-07,-1.1440062938758086e-07
209184685.179644,-0.7310376094004295,-0.003613879571046285,2.2736398763711918e-07,-5.286540269910586e-08
209184976.17484394,-0.7310388099786203,-0.0036139501957426433,3.789791032104972e-07,-2.429746515319152e-07
209185275.20524386,-0.7310401868718972,-0.0036131996120229103,3.911599054662318e-07,3.853557838163525e-07
209185516.17484382,-0.7310417662784126,-0.003613759226283153,-6.92230812671113e-08,-2.7237981969907565e-07
209186175.14764464,-0.7310445892750229,-0.0036136113305886225,1.6634047583785616e-07,-3.909910021799093e-07
209186366.17804462,-0.7310451742313865,-0.0036133713770262563,4.6758540372948687e-07,-2.2779040379818094e-07
209186605.16044456,-0.7310465002324232,-0.0036131467325858533,2.4994798919486527e-07,-9.884184727897843e-08
209186905.1412445,-0.7310478113273637,-0.0036128759556520135,3.296554790255257e-07,5.232648265076148e-08
209187265.1700434,-0.7310495082766957,-0.003612888101143342,3.0121823035855755e-07,-1.0260872317438552e-07
209188586.22604308,-0.7310562873418237,-0.0036122262226845384,-3.622615054599265e-07,4.260186425375859e-08
209188825.208444,-0.7310567617803105,-0.0036123276755006878,2.68462528874025e-07,-1.5107084939177534e-07
209189065.14124295,-0.7310580070747721,-0.0036125367059325606,1.323564352562201e-07,-4.5229607040101275e-07
209189365.2084429,-0.7310592217061429,-0.003612195202605438,3.043822643933325e-07,-2.2553703157152105e-07
209189486.16844288,-0.7310599399657632,-0.0036119121808680784,1.4493015654259978e-07,1.1406594905595535e-08
209189785.1988438,-0.7310611405420328,-0.0036119828132726278,3.2538826577610536e-07,-1.7269898028131336e-07
209190085.1796427,-0.7310625033823291,-0.003611644373547483,3.4736749343622364e-07,5.2539264451621076e-08
209190326.1492427,-0.7310640819332356,-0.0036117457297750745,-1.1922467624270183e-07,-1.3928691977712834e-07
209190576.1908436,-0.7310654675574673,-0.003611705624865265,-3.514501425438965e-07,-1.9261822229062198e-07
209190816.21004358,-0.7310665269523724,-0.003611567128991282,-3.040873189918969e-07,-1.4338871926920446e-07
209190985.2084425,-0.7310674969120732,-0.0036111518349568805,-4.950176969442666e-07,2.0930386088972158e-07
209191285.18924344,-0.7310682537114213,-0.0036116715497849336,1.305007045759865e-07,-4.2101632625720156e-07
209191585.1700424,-0.7310689131976487,-0.0036116622656692608,8.526869968994433e-07,-5.216727425958606e-07
209191886.1876423,-0.7310714091122367,-0.003610957732004848,-2.574360349338889e-07,7.321513470059243e-08
209192185.21804324,-0.7310728911990482,-0.003610988361145638,-3.6353828414270595e-07,-6.56603268852328e-08
209192485.19884315,-0.7310741066799293,-0.0036111051311249935,-1.993283190726558e-07,-2.903376028944374e-07
209192787.1668431,-0.7310753809346517,-0.003610948165906375,-8.543464624644059e-08,-2.4129698419960224e-07
209193085.16044304,-0.7310766034436591,-0.0036108588692801906,6.125632567854922e-08,-2.5781195216829575e-07
209193265.21804297,-0.7310770033522979,-0.003610729659263911,4.883342441530658e-07,-1.9220066972344685e-07
209193385.14124295,-0.7310779750099897,-0.003611230904300455,6.733322233110073e-08,-7.356628194061035e-07
209193686.1588429,-0.731079233510093,-0.0036105695393196737,1.9053755584419463e-07,-1.7976548146629925e-07
209265392.19722617,-0.731399839172903,-0.0036118492144422074,1.8543566571160852e-08,1.1678840265011425e-07
209265630.1428261,-0.7314010914613367,-0.0036118523007295576,-1.244607097383721e-07,1.9438135947418347e-07
209266175.154025,-0.7314035600035247,-0.003612430539041824,-5.027353422448755e-08,-1.9774358496395944e-07
209266415.1732259,-0.7314046123372748,-0.0036124982126668546,1.8035791971016124e-08,-1.8287137560453123e-07
209267076.21962577,-0.7314075317227499,-0.0036124213518116265,1.8767881704295775e-07,1.2317759499847966e-07
209267555.22122467,-0.7314097924511355,-0.0036128119796970705,1.6765998289702821e-07,-9.968282319375299e-08
209267796.19082558,-0.7314111262913986,-0.0036128396754305458,-3.821551664007217e-08,-4.244055359361662e-08
209268096.17162454,-0.7314121715797601,-0.003613113417557355,3.2137161809497883e-07,-2.0993821984007302e-07
209268396.15242544,-0.7314135940173422,-0.003612959653912973,3.045587820826867e-07,5.0632028325212075e-08
209268696.21962538,-0.7314150988202054,-0.003613288763680923,2.0652645960073102e-07,-1.710768170247283e-07
209268996.2004243,-0.7314166992651975,-0.0036132303476833372,1.3178995450502384e-08,-4.726166001958743e-09
209269295.14442524,-0.7314180558630183,-0.0036135563811507893,5.9534918772641277e-08,-2.2263503506817633e-07
209269596.16202417,-0.7314193151940398,-0.0036133534077788785,2.1360593260855154e-07,8.978224766550622e-08
209269896.1428241,-0.7314210050481413,-0.0036135718004724807,-6.700765009526322e-08,-1.8973636083715467e-08
209270195.17322502,-0.7314223467434987,-0.0036138517011364275,-3.234040590882614e-09,-1.890170722713795e-07
209270502.15242496,-0.7314237252867616,-0.00361401780507105,6.176228439791487e-08,-2.4175213815666105e-07
209270795.22122392,-0.731425059125113,-0.0036140455061261126,1.0671408812168437e-07,-1.606607055340374e-07
209271096.15242484,-0.7314264298115868,-0.0036139594104839497,1.5247247198146852e-07,3.771796328305016e-08
209271455.14442375,-0.7314279048086052,-0.0036141962567766356,3.680733815514259e-07,-6.442113333841176e-08
209271696.2004237,-0.7314292017981029,-0.003614337756604229,2.068095970031436e-07,-1.1500174921684134e-07
209271995.14442465,-0.731430698741411,-0.0036144146724071216,1.1890421369731285e-07,-7.86427545675962e-08
209272295.21162355,-0.7314322623358323,-0.003614470060714952,-2.9726327510637418e-08,-1.9747510220796682e-08
209272595.1924245,-0.7314335075747816,-0.0036146792247750384,1.4021480176928947e-07,-1.140747116182457e-07
209272896.21002445,-0.731434886116161,-0.0036148453331017413,1.8236215704181546e-07,-1.6435780824742077e-07
209274396.20042306,-0.7314417709638156,-0.0036154236822205266,3.8579790129222857e-07,-1.5662525228556448e-07
209274755.192423,-0.7314437054710058,-0.003615715905615966,1.4984294205433457e-07,-3.0635655182478794e-07
209274996.16202292,-0.7314449577539914,-0.003615719007643003,3.813673266073181e-08,-2.133251631891188e-07
209275235.14442387,-0.7314460767342228,-0.003615765165856113,5.067219688292823e-08,-1.6375464602326126e-07
209275596.21002382,-0.7314476105235105,-0.0036157282919260804,2.270702061935026e-07,1.8486899065837253e-08
209275895.15402272,-0.7314490486675923,-0.003616078944062609,2.054487360236834e-07,-2.1113459528756748e-07
209276195.22122267,-0.7314504640550716,-0.0036161312615765203,2.1241979020203416e-07,-1.4134994859435132e-07
209276495.2020226,-0.7314520425474456,-0.0036162327933058,5.6382071678129364e-08,-1.2019404582036541e-07
209276795.1828225,-0.731453398329635,-0.00361610057370607,1.235514022202011e-07,1.3533673295495346e-07
209277096.20042244,-0.7314550215251885,-0.003616340510527871,-7.128386014798593e-08,1.9767130788120313e-08
209277396.1812234,-0.7314561781612829,-0.003616731141784992,1.9600106659911631e-07,-2.462944910593297e-07
209277696.1620223,-0.7314576970479287,-0.0036166481376997415,1.0150656315488504e-07,-3.80879587322594e-08
209277996.14282224,-0.731459186939923,-0.0036169311317360794,3.6469459563370776e-08,-1.952435787163677e-07
209278296.2100232,-0.7314603874708762,-0.0036170019015201614,2.6165843836079006e-07,-1.3949926937466967e-07
209278596.19082308,-0.7314618993101943,-0.0036171249652907048,1.755748679777014e-07,-1.354429086078586e-07
209278896.17162204,-0.7314634778005346,-0.0036172265021809035,2.3278470706600274e-08,-1.0921405015898097e-07
209279196.15242296,-0.7314647747843909,-0.003617368015179213,1.5291881028112186e-07,-1.2231241309883234e-07
209279796.2004218,-0.7314677388570282,-0.003617429608619604,4.376526085980714e-08,7.492071202363018e-08
209280396.16202167,-0.7314706739334536,-0.0036178572019000444,-3.51744099402751e-08,-9.124780813276126e-08
209280996.21002257,-0.7314730232418923,-0.0036180664117739657,4.736352233747354e-07,-3.6332639772197056e-08
209281596.1716214,-0.7314761880718642,-0.0036185216969361216,1.6802493896239667e-07,-2.2484159413688545e-07
209282196.21962228,-0.7314792854434221,-0.003618540245602542,-6.825591813974796e-08,2.6140984543242957e-08
209282796.18122214,-0.7314819241085798,-0.0036189616878546677,1.5516522255953902e-07,-1.2306557448278632e-07
209283395.192422,-0.7314848144768175,-0.0036192508888925456,1.2370502988634513e-07,-1.37698749026402e-07
209283996.19082186,-0.7314875119382708,-0.003619398607602839,2.959513722977647e-07,-7.136898724779961e-09
209364675.21480343,-0.7319024289722497,-0.0036769202207492164,-1.4303564777051747e-08,-4.3304458288793285e-08
209364815.1828034,-0.7319032656315106,-0.0036765482006923976,-5.3970539259928785e-08,4.363665187081048e-07
209364995.15400237,-0.7319041257806976,-0.0036769327818712175,1.1091248286465571e-07,1.901585281291647e-07
209365296.1716023,-0.7319060970191353,-0.0036771114682375085,-1.45228723602564e-07,2.42802250256368e-07
209365595.20200223,-0.7319076017064909,-0.0036774407883282743,5.464298757917874e-08,1.431489188787223e-07
209365894.14600214,-0.7319093134099816,-0.003677499488249783,4.7775740252831156e-08,3.139156217386342e-07
209366196.20040208,-0.7319109443303969,-0.0036779918359896584,1.4019968919143366e-07,5.328812041583905e-08
209366495.144403,-0.7319127007209096,-0.0036781889464366562,9.015801738510021e-08,8.538121489768541e-08
209366795.21160194,-0.7319145237610938,-0.003678364538947258,-1.9382606075701858e-08,1.3972478003125913e-07
209367096.14280188,-0.7319161170589381,-0.0036785124161342175,1.0648584414241213e-07,2.2231832157333653e-07
209367456.1716018,-0.731918222356964,-0.003679106336101782,5.8916985401502586e-08,-9.603529958291182e-08
209367695.15400174,-0.7319194596787634,-0.0036790634718953706,1.8805098267460352e-07,1.2964873277298422e-07
209367996.17160168,-0.7319212976131647,-0.0036792852042507214,7.190644824017767e-08,1.3808383140731517e-07
209368295.20200163,-0.7319230022470284,-0.003679549974869639,7.837997639814631e-08,1.0184295228844731e-07
209368595.18280154,-0.7319245288930635,-0.0036797193745311475,2.6895440818908156e-07,1.6158302507769326e-07
209368866.21960247,-0.7319260633675455,-0.0036801409751844255,2.8658497619460377e-07,-5.308517458339074e-08
209369165.1636014,-0.7319277821343422,-0.0036799936201653504,2.803563305953105e-07,3.2240252301760433e-07
209369465.14440134,-0.7319296945453148,-0.003680446038685919,8.706842846706309e-08,9.879762094587921e-08
209369765.2116013,-0.7319311396442669,-0.003680590823387176,3.6222484867121096e-07,1.8278401886463388e-07
209369945.18280122,-0.7319324294799476,-0.003680938573201508,1.0444788089980506e-07,-2.780698671236287e-08
