Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
239858153.17635083,-0.6865663208792169,-0.004868501101762057,-2.744554491451723e-07,6.600795238289117e-07
239858572.4755507,-0.6865691468286642,-0.004869188755806043,-5.406166510013577e-07,2.76779653928666e-07
239858813.09955063,-0.6865704184611678,-0.004869222052193409,-3.4232147783086475e-07,4.1767018833793745e-07
239859052.51395154,-0.6865718696540194,-0.004869348482228061,-3.3030583490578636e-07,4.6420869251068836e-07
239859293.0515515,-0.6865735004070598,-0.004869568046118434,-4.903195164329688e-07,4.180804268885327e-07
239859533.41635144,-0.6865753261523029,-0.004869926703818228,-8.457216053026073e-07,2.3238889048683709e-07
239860385.17347118,-0.6865800550023268,-0.004871202823339237,-3.590484105586711e-07,-4.335825582336278e-07
239860505.18307015,-0.6865808805455996,-0.004871232480979704,-4.491008265272711e-07,-3.7762027488286165e-07
239860625.19267014,-0.6865814760511881,-0.004871901932650073,-3.089596097849423e-07,-9.615378840852062e-07
239860745.2022711,-0.6865822805366724,-0.00487142724761808,-3.776431997115637e-07,-4.0140463403517956e-07
239860865.29827008,-0.6865833677037572,-0.004871573626507307,-7.283242781097599e-07,-4.6235970413248395e-07
239860985.30787104,-0.6865839267193478,-0.004871692775823114,-5.512302786447876e-07,-4.962324854388897e-07
239861105.31747103,-0.6865847985585601,-0.004871860313593184,-6.868074062804652e-07,-5.785794957293908e-07
239861225.32707098,-0.6865854136772519,-0.004871704918919401,-5.655123749281898e-07,-3.380798086873374e-07
239861345.42306992,-0.6865859474536059,-0.004872190532254014,-3.62193898428842e-07,-7.386126697449258e-07
239861465.4326709,-0.6865865983399135,-0.004871920845563943,-2.76365680784707e-07,-3.839924303692885e-07
239861585.44227087,-0.6865875319070868,-0.00487227222302021,-4.730692866328212e-07,-6.505219903724102e-07
239861705.45186985,-0.6865881778898008,-0.004872208748341711,-3.8204025576416e-07,-5.022850335656415e-07
239861825.5478708,-0.6865891114566952,-0.0048725601261902455,-5.779173088971135e-07,-7.68925250966071e-07
239861945.55747077,-0.6865897469109234,-0.0048722444802954,-4.760659080282892e-07,-3.6868825954890216e-07
239862065.56707075,-0.6865905878853739,-0.004872320099880357,-5.795891415694143e-07,-3.5980224754109114e-07
239862185.6630707,-0.6865913930919634,-0.004872510011813572,-6.46668713466525e-07,-4.65233294247476e-07
239862305.67266968,-0.6865918910996239,-0.004873109918129079,-4.069364812897547e-07,-9.808049440595754e-07
239862425.68226966,-0.68659253145758,-0.004872588061013129,-3.094115489377103e-07,-3.7469852746246923e-07
239862633.3014706,-0.6865940801421805,-0.004872784046737314,-5.812076823152879e-07,-4.251325882590265e-07
239952840.17184523,-0.6871695398801523,-0.004909842775431225,-1.0862927496413377e-06,-3.9403657709716905e-07
239953199.94144514,-0.68717109338891,-0.0049098327932178085,-2.822400851920648e-07,-3.884022157594341e-07
239953320.0374461,-0.6871718621107548,-0.004909472525836999,-2.6409444697783613e-07,-2.988605101068853e-08
