Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
656820060.1680021,-0.20575338133111337,-0.0194512665785416,2.0895608335291804e-07,-3.1154168605995736e-08
656820115.204802,-0.20575384257892865,-0.01945129701752862,-1.4323393027204645e-09,-6.752224529157913e-08
656820170.1552031,-0.20575408600125958,-0.01945135157592501,5.593209867482685e-09,-1.2803157920307506e-07
656820225.1920031,-0.20575445884100269,-0.019451340577228762,-1.164227026173581e-07,-1.2302434916622307e-07
656820280.1424031,-0.2057545407047029,-0.019451274164200737,5.2125768423838537e-08,-6.262447111923808e-08
656820390.2160021,-0.20575514360676475,-0.01945136028148652,-4.9218693870534125e-08,-1.608802728710057e-07
656820500.2032031,-0.20575557654710744,-0.019451176220931475,1.8932009793193316e-08,1.0927188744125349e-08
656820555.1536031,-0.20575578372317757,-0.019451330480930607,6.207711020222995e-08,-1.4950093328927605e-07
656820610.190402,-0.20575614045355017,-0.01945126311216767,-4.395703220860803e-08,-8.834092963747042e-08
656820665.1408021,-0.20575621186163823,-0.019451190607781842,1.3491896588835317e-07,-2.206641220789396e-08
656820720.1776031,-0.20575655701323226,-0.019451280940552994,4.042627047007308e-08,-1.1866971811810845e-07
656820775.214403,-0.20575675032626753,-0.019451051244665334,9.775329556926948e-08,1.0472477369322108e-07
656820830.164803,-0.20575712006779917,-0.019451273365703122,-2.1760532348258366e-08,-1.23718522811872e-07
656820885.2016021,-0.20575722474023203,-0.019451223596971025,1.2416915812218932e-07,-8.031275975511898e-08
656820940.1520021,-0.20575773435477965,-0.01945138625233345,-1.352557565947876e-07,-2.493517897751707e-07
656820995.1888021,-0.20575775259418871,-0.01945122571911567,9.706863407510369e-08,-9.524297900007084e-08
656821050.1392032,-0.20575799628781022,-0.019451022018571115,1.0352618545761416e-07,1.020126240841579e-07
656821105.1760032,-0.20575833001563204,-0.01945112247632873,2.032344062485869e-08,-4.930842834732774e-09
656821160.2128022,-0.20575861634479103,-0.019451074501563234,-1.5500170730264884e-08,3.6527589411528005e-08
656821270.2000033,-0.20575908986810487,-0.019451189281956997,1.1535475408219753e-08,-9.136685774971398e-08
656821324.2000033,-0.20575908518251032,-0.019451122786899363,2.61949685387286e-07,-3.1354988990622834e-08
656821379.1504022,-0.20575962054889285,-0.019451216543562355,-2.3382946606753663e-08,-1.3173907459362866e-07
656821434.1872032,-0.20575982516939761,-0.019451087405234616,2.2403443128427014e-08,-9.269020564972585e-09
656821489.2240022,-0.20575996872112245,-0.01945114754508114,1.2923848979884411e-07,-7.610756024359344e-08
656821544.1744032,-0.20576022081780265,-0.019451093051005848,1.271153524107227e-07,-2.833197649404484e-08
656821599.2112023,-0.20576076745283248,-0.019451324259371572,-1.691733983177901e-07,-2.662997243829679e-07
656821687.1664032,-0.2057609522077804,-0.019451092933721253,4.611168885615413e-08,-4.583927768961327e-08
656821742.2032022,-0.20576116619946094,-0.019451096785533185,8.241305599065996e-08,-5.65291670591439e-08
656821797.1536032,-0.2057614849411098,-0.019450977080366867,1.3550921745819622e-08,5.631850002324468e-08
656821852.1904032,-0.20576175682579514,-0.019451098561959933,-8.082108315932146e-09,-7.206154329850167e-08
656821907.1408023,-0.20576198328688905,-0.019451002284262223,1.5294776001262278e-08,1.729844644957068e-08
656821962.1776032,-0.20576222856785556,-0.01945109819850873,2.0223679786379734e-08,-8.55744852409912e-08
656822017.2144022,-0.205762503163071,-0.019451355501929894,-4.182732993296412e-09,-3.498666804081785e-07
656822072.1648031,-0.2057628154379512,-0.019451054157772273,-6.668266927523092e-08,-5.55303093612014e-08
656822127.2016032,-0.20576294005347012,-0.019451032788149546,5.884824150204082e-08,-4.120948795399704e-08
656822182.1520033,-0.20576316864470268,-0.019450719607141335,7.998944204223868e-08,2.649038702354223e-07
656822237.1888024,-0.20576331757869507,-0.019451088284796497,1.8115910535576596e-07,-1.1088247434121179e-07
656822292.2256023,-0.20576354125170565,-0.019450929973608384,2.0756820579004298e-07,4.02901087319385e-08
656822346.1392033,-0.20576388729376668,-0.019451077878579585,1.064835565278699e-07,-1.1463675442593968e-07
656822511.1632023,-0.20576462631241235,-0.0194510587135268,1.1712434291877294e-07,-1.1714285384767376e-07
656822566.2000023,-0.20576496778521028,-0.019451029441037968,2.5624930843903826e-08,-9.515737156920445e-08
656822629.1856023,-0.20576505917517743,-0.019450948441625007,2.2028409099594803e-07,-2.253385591663437e-08
656822684.2224033,-0.2057653179712337,-0.019450854221822772,2.1141384184963918e-07,6.43352784657214e-08
656822739.1728023,-0.20576578572436022,-0.019451029406166047,-6.8281245657608736e-09,-1.1821775491166475e-07
656822793.1728023,-0.20576598744046268,-0.01945094891686341,3.662970068929461e-08,-4.4998439776428034e-08
656822848.2096024,-0.2057660608236262,-0.019450807085790195,2.1310548056763245e-07,8.939377857397623e-08
656822903.1600024,-0.2057666007978573,-0.019451041126118663,-7.742463006832345e-08,-1.521031847591392e-07
656822958.1968033,-0.20576658949045343,-0.019450940568611224,1.836963942347669e-07,-5.9043505456352063e-08
656823013.1472024,-0.20576692507684438,-0.019451082382291707,9.75086691112903e-08,-2.0837263087214453e-07
656823068.1840034,-0.20576729036525063,-0.01945101664371867,-1.8011832442210718e-08,-1.5019071868821454e-07
656823123.2208023,-0.20576739705152208,-0.01945086065418615,1.250467700775193e-07,-1.7872332919166567e-09
656823233.2080023,-0.20576794295089562,-0.019450886714321002,7.817572836299469e-08,-4.3095457823855154e-08
656823288.1584034,-0.20576824918428477,-0.019450904033004483,2.1225676577474317e-08,-6.807602132355428e-08
656829466.190403,-0.20579614483959957,-0.0194498654725338,-1.8630524789564618e-08,-6.845423661250294e-08
656829491.1600031,-0.20579616393098712,-0.0194497994055256,7.408709074008257e-08,-7.265979814347068e-09
656829516.216004,-0.2057962192688177,-0.019449633637099478,1.3093820630527553e-07,1.5360158570065785e-07
656829541.1856041,-0.2057962704620476,-0.019449790992836793,1.9154013325417552e-07,-8.643319129864047e-09
656829566.155203,-0.20579650652707224,-0.019449606341120994,6.726333778850346e-08,1.7111403508712764e-07
656829591.2112031,-0.2057966518594379,-0.01944978162536634,3.409905116602552e-08,-9.086725677454055e-09
656829616.180804,-0.2057966433013345,-0.019449779995501987,1.544315012536046e-07,-1.2361620366219128e-08
656829641.1504041,-0.20579691061657385,-0.01944972430042493,-1.1163401869573875e-09,3.842351290611612e-08
656829666.2064041,-0.2057968668190409,-0.019449769261539136,1.5482833992663814e-07,-1.1469742884628875e-08
656829691.176004,-0.20579725088782558,-0.019449932610020884,-1.1748698403035718e-07,-1.7973854611608164e-07
656829716.145604,-0.2057970505672795,-0.01944959104694725,1.9458005509620513e-07,1.568990306184681e-07
656829741.201603,-0.2057973536627649,-0.01944987838012189,3.6107134504526073e-09,-1.3538188268352735e-07
656829766.1712041,-0.20579725410312727,-0.01944958880802092,2.1490286725156516e-07,1.492543625601639e-07
656829791.140804,-0.20579738607539355,-0.019449806649764634,1.9465612230429308e-07,-7.352840252286552e-08
656829816.1968032,-0.20579761455048454,-0.019449604151909564,7.828610879001552e-08,1.2400614522734e-07
656829841.1664032,-0.2057976451044841,-0.019449491065873743,1.594436039864533e-07,2.3214081994876734e-07
656829866.2224032,-0.20579775055081967,-0.019449609551911207,1.6608825953445816e-07,1.0868110590298019e-07
656829891.1920042,-0.2057979579204827,-0.019449579341940887,7.041603952706588e-08,1.3392938782996744e-07
656829916.1616042,-0.20579829253811227,-0.019449737372806086,-1.5251117888026577e-07,-2.9068315199332062e-08
656829966.1872041,-0.20579820041302027,-0.019449613223413407,1.633600352768383e-07,8.511473395186875e-08
656829991.1568031,-0.20579847977050203,-0.01944986323442271,-4.328190139624155e-09,-1.698785612701259e-07
656830015.1760042,-0.20579850560022167,-0.019449720547468435,7.725430961613711e-08,-3.198910406010391e-08
656830040.1456041,-0.2057984183936797,-0.01944944152830653,2.761162602726852e-07,2.4203769576763845e-07
656830065.2016032,-0.2057987310931061,-0.019449640486807536,7.54514811740492e-08,3.806440040249326e-08
