Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
179204605.18733704,-0.7785527001103456,-0.002462819789982625,3.898734624030453e-07,5.825934858236931e-08
179204718.198537,-0.7785539593734967,-0.0024627352642993803,-4.093611706279532e-07,7.686658934488375e-08
179205319.19693792,-0.7785558439755571,-0.002462594580125054,1.50051168046339e-07,-1.319278272841895e-07
179205438.16973788,-0.7785566030525126,-0.002462309367098098,-1.257024432321785e-07,8.432129908154604e-08
179207769.15533656,-0.7785661106641432,-0.0024611941960850426,-1.973588160675277e-07,-1.3635872209713865e-07
179208069.2225365,-0.7785675052475431,-0.002461240397938428,-3.8200822916056865e-07,-3.523076989508586e-07
179208199.16813746,-0.7785681776524259,-0.0024609819595830104,-5.307890550421135e-07,-1.6721531682830498e-07
179208308.20493647,-0.7785685974963212,-0.0024615372860628073,-5.114232572989152e-07,-7.840090330371065e-07
179208428.21453744,-0.7785688629045899,-0.0024606941822769837,-2.935927339020594e-07,-8.47643719017327e-09
179208489.21293744,-0.7785693029344569,-0.0024605582631517264,-4.880708591725735e-07,9.313062620868937e-08
179208548.22413743,-0.778569588340868,-0.002460820221565389,-5.359691336304095e-07,-2.0200080423204286e-07
179208608.1857374,-0.7785695097662699,-0.002460849566311419,-2.161056549265794e-07,-2.650313883807709e-07
179208669.1841374,-0.778569383426906,-0.0024605587709157083,1.556487263520978e-07,-8.482054656300947e-09
179208728.1953374,-0.7785698284478028,-0.00246095917026969,-5.1996472461013354e-08,-4.4199040085237187e-07
179208908.16653737,-0.7785708175258352,-0.0024605673975661626,-3.1739983608058964e-07,-1.5106226491055919e-07
179209028.17613736,-0.7785710840898522,-0.0024602009073384163,-1.0162405172930988e-07,1.4829201137097486e-07
179209089.17453635,-0.7785713975652317,-0.0024603882318038946,-1.7000549856760472e-07,-7.312238254307546e-08
179209148.18573636,-0.7785716687537685,-0.002460816954856268,-2.0412934265134908e-07,-5.348029713941882e-07
179209208.14733732,-0.778571720965808,-0.0024603948952660348,-1.5503638151059818e-08,-1.4620968044826502e-07
179209269.1457363,-0.7785722361915196,-0.0024601241183470138,-2.8577384891814717e-07,9.054512167122608e-08
179209389.1553363,-0.7785724731608615,-0.002460725784046034,-4.0949661217482e-08,-5.779889322020566e-07
179209458.1889363,-0.7785730777398193,-0.0024600113270607667,-3.6846725626205057e-07,9.80438114987249e-08
179209579.14893627,-0.7785732410993444,-0.0024599963868305414,-4.650840135234091e-08,4.5729475807616826e-08
179209699.15853727,-0.7785739484517923,-0.002460158457710079,-2.7253955514616734e-07,-1.8297650982964167e-07
179209818.21773723,-0.7785744909535722,-0.002460188779135538,-3.377131975179637e-07,-2.793152631152575e-07
179209938.14093724,-0.778575029956127,-0.002459829472009094,-3.961067475133362e-07,1.3586619136609496e-08
179210179.19693616,-0.7785762202629314,-0.0024599945908255223,-6.209053301509115e-07,-2.8473376195888023e-07
179210298.16973716,-0.7785763568636774,-0.0024597748018567477,-2.8125623185992765e-07,-1.3054806644258524e-07
179210418.17933714,-0.7785768222215715,-0.002459839100441639,-2.6639874173284284e-07,-2.6092849777321556e-07
179210829.18413708,-0.7785786272138558,-0.0024595352756560675,-4.2817711787268564e-07,-1.827033258585374e-07
179210888.1953371,-0.7785791153145073,-0.00245931854572516,-6.805285582833775e-07,1.7271410564755063e-09
179211018.14093605,-0.7785791593994743,-0.0024588228846417802,-2.0564187708238535e-07,4.263450122344789e-07
179211138.15053603,-0.7785800460368273,-0.0024583359034929413,-6.131851891799656e-07,8.478154864106045e-07
179211488.156937,-0.7785807543627383,-0.002458548416488602,7.468419072065302e-08,4.4479651086989924e-07
209180772.21004492,-0.7310196747715958,-0.0036155781566592437,-5.93809910132137e-08,-9.754821538856748e-08
209181097.16044584,-0.7310213384163229,-0.003615213835114017,-2.0734311567682795e-07,1.262092088286787e-07
209181335.1924448,-0.7310223779025555,-0.003615127613385344,-1.3682858124308694e-07,1.0982279374230006e-07
209182356.18124557,-0.731027007476784,-0.003614966605410632,-7.920680666906321e-09,-1.6580261455109713e-07
209182681.21804446,-0.7310284596694976,-0.003614859122949484,5.383989865048733e-08,-1.9612052118639714e-07
209183151.14764535,-0.7310306526511818,-0.0036146294662845993,4.885968685197639e-08,-1.6464506352427757e-07
209183606.21644425,-0.7310327574953247,-0.0036144231943215427,6.185925838231299e-08,-1.4909234020196033e-07
209183965.20844418,-0.7310344016568445,-0.0036143403007190306,8.771940063212469e-08,-2.158116406453421e-07
209184205.14124513,-0.7310356206744331,-0.003613966802160175,-1.5484554638511838e-08,5.8110823507318e-08
209184446.19724405,-0.7310366630560315,-0.0036138439844864865,6.288516685160062e-08,8.122642592995472e-08
209184685.179644,-0.7310377619106335,-0.003613804818745972,7.485378361593575e-08,2.188689761373208e-08
209184976.17484394,-0.7310390920223796,-0.0036137979253816946,9.693534386290281e-08,-9.070429058321769e-08
209185275.20524386,-0.7310403432366518,-0.0036132051333042235,2.3479515087743152e-07,3.798345025031284e-07
209185516.17484382,-0.7310419815855556,-0.0036135826650246067,-2.845302242704406e-07,-9.581856115275719e-08
209186175.14764464,-0.7310448029211233,-0.003613338502580534,-4.7305624528704016e-08,-1.1816299409122058e-07
209186366.17804462,-0.7310455266105965,-0.0036131861914211706,1.152061936959825e-07,-4.260479871242423e-08
209186605.16044456,-0.7310467468425933,-0.003613067050919402,3.3378191321986606e-09,-1.9160180827777068e-08
209186905.1412445,-0.7310481601079664,-0.0036127479772875668,-1.9125123595920002e-08,1.803048470974504e-07
209187265.1700434,-0.7310497013953664,-0.0036127339944854466,1.0809955963697604e-07,5.1497934720843436e-08
209188586.22604308,-0.7310558253605927,-0.0036120494159804,9.971972558808773e-08,2.1940856839231318e-07
209188825.208444,-0.7310570676740646,-0.003612249219475514,-3.7431225230477594e-08,-7.261482421784538e-08
209189065.14124295,-0.7310581021545736,-0.003612261428917636,3.72766337797259e-08,-1.7701905547645724e-07
209189365.2084429,-0.7310594861184505,-0.0036121250546949004,3.99699567887879e-08,-1.5538912103395253e-07
209189486.16844288,-0.7310600762497941,-0.0036118783368241747,8.64612570428136e-09,4.525063880935279e-08
209189785.1988438,-0.7310613952229548,-0.003611859765617304,7.070734375780319e-08,-4.965132495773905e-08
209190085.1796427,-0.731062792517009,-0.003611719085655475,5.82328135712018e-08,-2.2172843540391174e-08
209190326.1492427,-0.7310641848915505,-0.0036117226535174658,-2.2218299111642636e-07,-1.1621066216835688e-07
209190576.1908436,-0.7310653864478838,-0.0036115229398362182,-2.70340559049842e-07,-9.933193243633065e-09
209190816.21004358,-0.7310664758246102,-0.003611568363709726,-2.5295955674575765e-07,-1.4462343771301164e-07
209190985.2084425,-0.7310673938459133,-0.003611516305529535,-3.919515371153537e-07,-1.5516671176499935e-07
209191285.18924344,-0.7310685856708697,-0.0036112636930522753,-2.014587439091997e-07,-1.3159593598849328e-08
209191585.1700424,-0.731069960157927,-0.0036112119035270574,-1.942732814619319e-07,-7.131060039255316e-08
209191886.1876423,-0.7310713626261275,-0.0036110644601962437,-2.1094992574965943e-07,-3.351305669519605e-08
209192185.21804324,-0.7310729106615195,-0.003611094160985688,-3.8300075544395185e-07,-1.714601669351376e-07
209192485.19884315,-0.7310741983315235,-0.0036109787151246816,-2.909799132755353e-07,-1.6392160258251603e-07
209192787.1668431,-0.73107574428171,-0.0036106830162171773,-4.487817044651621e-07,2.3852704998227753e-08
209193085.16044304,-0.7310769606349425,-0.0036108708340586936,-2.959349577613679e-07,-2.697767306713249e-07
209193265.21804297,-0.7310773629305658,-0.0036104300630629914,1.2875597621420098e-07,1.0739553119596193e-07
209193385.14124295,-0.7310781000961091,-0.0036107523265302395,-5.7752897020257876e-08,-2.5708504919081526e-07
209193686.1588429,-0.7310794977527296,-0.0036104077393290346,-7.37050808163886e-08,-1.796549082720353e-08
209265392.19722617,-0.7313999052826667,-0.003611939945693484,-4.7566197203252614e-08,2.6057151373670012e-08
209265630.1428261,-0.7314012865660438,-0.003611977787601316,-3.195654167953421e-07,6.889448771587106e-08
209265996.219626,-0.7314027738962126,-0.0036124806642910644,-9.927217603511451e-08,-3.091748364790481e-07
209266175.154025,-0.7314036206941856,-0.003612390556594979,-1.1096419516576361e-07,-1.577611381188733e-07
209266415.1732259,-0.7314047250215402,-0.0036125280472448095,-9.464847339213378e-08,-2.1270595355936742e-07
209267076.21962577,-0.731407757172493,-0.003612526847848312,-3.7770926053504184e-08,1.768155831298468e-08
209267555.22122467,-0.7314099578332496,-0.003612891024898181,2.2778687824853705e-09,-1.787280243044538e-07
209267796.19082558,-0.7314112545004514,-0.0036128492113280675,-1.664245694588118e-07,-5.19764511153209e-08
