Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
656820060.1680021,-0.20572071360109823,-0.01938932394331531,3.2876686098498586e-05,6.19114810576811e-05
656820115.204802,-0.20572115107402644,-0.019389353953299347,3.269007256290202e-05,6.187554198398143e-05
656820170.1552031,-0.20572134601409467,-0.0193893869774837,3.2745580374776706e-05,6.183656686210848e-05
656820225.1920031,-0.20572164465903903,-0.01938938644892894,3.2697759261041126e-05,6.183110395065541e-05
656820280.1424031,-0.20572171126562952,-0.019389358131721653,3.288156484179683e-05,6.185340800796482e-05
656820390.2160021,-0.2057222457050593,-0.019389431209099046,3.2848683011593716e-05,6.176819211460224e-05
656820500.2032031,-0.2057225931052064,-0.01938919395494484,3.300237391082317e-05,6.199319317537824e-05
656820555.1536031,-0.20572274413091476,-0.019389382623147725,3.310166937300907e-05,6.179835684959334e-05
656820610.190402,-0.20572305807236163,-0.01938930710435255,3.303842415633418e-05,6.186766688548451e-05
656820665.1408021,-0.2057231008631332,-0.019389315253428574,3.324591747091987e-05,6.185328794106049e-05
656820720.1776031,-0.20572333766463474,-0.01938933574886184,3.325977486798304e-05,6.182652197303518e-05
656820775.214403,-0.20572346344324544,-0.019389113691583398,3.338463631766264e-05,6.204227785562913e-05
656820830.164803,-0.2057237951194969,-0.01938935726378596,3.3303187769923026e-05,6.1792383394349e-05
656820885.2016021,-0.20572399021495663,-0.019389242711271782,3.3358694433521796e-05,6.190057293948767e-05
656820940.1520021,-0.20572429633329448,-0.019389370711483295,3.330276572857671e-05,6.176618906037976e-05
656820995.1888021,-0.2057243259581625,-0.019389236947259907,3.3523704660282094e-05,6.18935288767622e-05
656821050.1392032,-0.20572455052307592,-0.01938913620727441,3.354929091975434e-05,6.198782392078869e-05
656821105.1760032,-0.20572475587991074,-0.019389212217052868,3.35944591619286e-05,6.190532843302829e-05
656821160.2128022,-0.2057251439013497,-0.019389236909823845,3.345694327061555e-05,6.187411932880027e-05
656821270.2000033,-0.20572541110160172,-0.019389291895680876,3.369030197855616e-05,6.180601941837074e-05
656821324.2000033,-0.20572536455470186,-0.019389237929340268,3.3982577493846255e-05,6.185350257010419e-05
