Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
240026286.18526566,-0.6876289921214079,-0.0048874327826891484,-1.0117831505951358e-07,-2.5061445700809426e-07
240026406.18622562,-0.6876295189851551,-0.004887511714758353,9.811916990010161e-08,-4.008355606660227e-07
240026526.1871856,-0.6876301679946994,-0.004887196824609339,1.7515933348200008e-07,-1.573525669519571e-07
240026586.68446657,-0.6876305069196128,-0.004887354147668739,2.0222255581181514e-07,-3.5071952599486506e-07
240026647.18174556,-0.6876307459552164,-0.0048872535011887305,3.2914641401315947e-07,-2.8614685970013154e-07
240027365.18302637,-0.6876353723841165,-0.004886422459611515,4.3816317796263604e-08,1.1448744857874005e-07
240027486.18622535,-0.6876362614745016,-0.004886569079730793,-1.1408990163719324e-07,-1.0507829779297234e-07
240028084.1865462,-0.687639507526428,-0.004886467042240496,2.5159079275471896e-07,-3.6525831348561966e-07
240028265.18590513,-0.687640740969745,-0.004886104386646442,1.107272598055431e-07,-1.1279650508327216e-07
240028325.1820661,-0.6876410600172743,-0.004886580313824643,1.5377654449810763e-07,-6.253068433412917e-07
240028384.18462512,-0.6876416472526389,-0.00488585148629861,-7.73892215866212e-08,6.7515745660017e-08
240028445.18302506,-0.6876417038111852,-0.004886221152427813,2.3413445959796775e-07,-3.394020053303082e-07
240028625.18014604,-0.6876429569407132,-0.00488561666375071,6.697016718959503e-08,1.5499264676473862e-07
240028684.18270501,-0.6876432355903052,-0.004886095916212763,1.4423480554359713e-07,-3.604034900074951e-07
240028863.18622598,-0.6876441702575466,-0.004885940881607002,2.8916021121982993e-07,-3.151885973476723e-07
240028985.18302596,-0.6876452021118636,-0.004885702106448497,-7.080443120699442e-09,-1.5140191604850334e-07
240029284.17886487,-0.6876469276924331,-0.0048856396981297135,6.964798071606992e-08,-2.7326588624820153e-07
240029406.18430585,-0.6876476493840985,-0.004885903843062939,8.315482125098583e-08,-6.128009691526437e-07
240029464.1846258,-0.6876479004541242,-0.004885425861555703,1.8154358216726507e-07,-1.7069930434692598e-07
