Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
434593867.1535712,-0.4763003049749426,-0.011955091639563055,-8.90766689298772e-08,3.82549467147289e-07
434594170.1583722,-0.4763012315824168,-0.011955133954185184,-1.0741084394139122e-07,1.3025853179242375e-07
434594221.2207712,-0.47630139175401826,-0.011954994135474545,-1.1457879739440457e-07,2.34717648067706e-07
434594246.1903722,-0.47630155939618013,-0.011955111291591833,-2.074081119074478e-07,1.0027334722793879e-07
434594272.1967712,-0.4763017823051788,-0.01195491605956273,-3.5240219070642453e-07,2.7750124969791456e-07
434594297.16637224,-0.4763017480912429,-0.011955183936356615,-2.43383741216352e-07,-7.660068444131918e-09
434594323.1727722,-0.4763016318907152,-0.011954724686227875,-4.9276982161394756e-08,4.335897519410631e-07
434594349.1791722,-0.4763017751660341,-0.011954679745554276,-1.1465051247272484e-07,4.605320716218747e-07
434594400.1551712,-0.4763020645192905,-0.011954973374685237,-2.5131882608331324e-07,1.3162946096816064e-07
434594426.1615712,-0.4763021248469878,-0.011954872117211931,-2.3375792118640604e-07,2.1489438882006662e-07
434594451.2175712,-0.47630203090659223,-0.011954965567607301,-6.477957575912185e-08,1.0411084653237646e-07
434594477.2239712,-0.4763021012944233,-0.011954969565981794,-5.7287580512710434e-08,8.21237992661844e-08
434594502.1935722,-0.4763022491476927,-0.011954896871240888,-1.3037007806637746e-07,1.3754888424435951e-07
434594528.1999722,-0.4763023450764372,-0.01195492738574431,-1.4842778028878456e-07,8.904958938814322e-08
434594553.1695712,-0.47630243700004865,-0.011955125757521706,-1.6558907078856322e-07,-1.265881082561371e-07
434594579.1759712,-0.4763024419378429,-0.01195470287719595,-9.266462958068544e-08,2.7831132316975815e-07
434594630.1519712,-0.47630281899655136,-0.011954827505982113,-3.1711607595408253e-07,1.1844338341192306e-07
434594656.1583722,-0.4763027365602675,-0.011954594286852738,-1.5683089776841186e-07,3.336875321717503e-07
434594681.2143722,-0.4763028199292331,-0.011954572482928489,-1.6520022316779404e-07,3.381752672719507e-07
434594707.2207722,-0.47630280462837793,-0.011954453659526375,-7.205935692589094e-08,4.3902763272735124e-07
434594732.1903712,-0.4763029084489661,-0.011954663028119532,-1.0114745729872254e-07,2.12406352069483e-07
434594758.1967712,-0.4763028735721996,-0.011954889583273015,1.1560431945056848e-08,-3.211588612238303e-08
434594784.2031722,-0.4763033291190008,-0.011954583714377012,-3.66159787212883e-07,2.5578794688764506e-07
434594809.1727712,-0.4763029690180973,-0.011954681213033934,6.866069057753776e-08,1.410423500890906e-07
434594835.1791722,-0.4763033735160487,-0.011955055104443262,-2.5801960246152333e-07,-2.508101465230339e-07
434594860.14877224,-0.47630329216391887,-0.011954785086193702,-1.019564745408097e-07,1.9649874349186858e-09
434594886.1551712,-0.476303599767473,-0.011954650693593817,-3.3175132313489897e-07,1.1840049328644409e-07
434594911.2111722,-0.47630351606712323,-0.011954651836689548,-1.730900952567893e-07,9.995847304045125e-08
434594937.2175722,-0.47630358910604426,-0.011954821121610055,-1.6832929328192137e-07,-8.727952804411798e-08
434594962.1871712,-0.4763036853047161,-0.011954555291455978,-1.8983421001816936e-07,1.6131521337996169e-07
434594988.1935722,-0.47630400146286905,-0.011954641074590648,-4.282016307644021e-07,5.758302069197585e-08
434595014.1999722,-0.47630394330342707,-0.01195466873381307,-2.922560568552335e-07,1.197679993895917e-08
434595039.16957223,-0.47630399564935133,-0.011954487403845002,-2.699212893753078e-07,1.760772055624249e-07
434595065.1759712,-0.4763037903893779,-0.011954530297829178,1.3115783625838873e-08,1.1524027115038249e-07
