Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
466734012.673567,-0.4389863320204541,-0.013057787432060094,1.1852543239654345e-06,-5.145653467729383e-07
466734304.446356,-0.4389872332641849,-0.013057870517816112,1.1012281733724372e-06,-4.3192408024153583e-07
466735013.01278,-0.4389893672328807,-0.01305823450837062,9.544607139089223e-07,-3.906266522416685e-07
466735271.262395,-0.438990125593205,-0.013058384223230732,9.21307718171338e-07,-3.916427708111625e-07
466735457.022361,-0.4389906745074382,-0.013058548604298377,8.943537841421545e-07,-4.4874208986016295e-07
466735682.267167,-0.4389912642444245,-0.013058660457185105,9.378828368378223e-07,-4.3014999266330345e-07
466735863.275157,-0.43899187173012055,-0.013058739278710289,8.39581183964544e-07,-4.038609820160993e-07
466736032.878381,-0.4389923789282864,-0.0130587585653532,8.097200842605012e-07,-3.244310817652335e-07
466736214.404775,-0.4389928461945438,-0.01305894985626088,8.536022835237134e-07,-4.098216200825594e-07
466736387.204763,-0.4389933795748089,-0.013059016151502578,8.070449654673517e-07,-3.750740518830564e-07
466736555.943981,-0.4389937949210513,-0.01305913409005653,8.673156381422409e-07,-3.941256869598869e-07
466736782.225594,-0.4389945621565047,-0.01305930636321075,7.382558330770728e-07,-4.334528105505442e-07
466737007.211177,-0.438995257501558,-0.013059334992487945,6.778523287120919e-07,-3.2951654276025533e-07
466737192.452779,-0.43899574206985476,-0.01305939444081521,7.163809171428781e-07,-2.7953373587033536e-07
466737667.220794,-0.4389972139699017,-0.013059638566047894,5.86493722365411e-07,-2.420315715970234e-07
466737814.70557,-0.43899753124796276,-0.013059722145975861,6.865022261215437e-07,-2.3778825888366717e-07
466737968.843177,-0.4389980650723137,-0.013059809106250772,5.88990652139465e-07,-2.3279437861602192e-07
466738149.851167,-0.43899856384562036,-0.013060060940775973,6.028582903994106e-07,-3.76424747736831e-07
466738354.273595,-0.4389992316797339,-0.013060136861875517,5.143279812047652e-07,-3.2986081982717963e-07
466738734.606394,-0.43900031840775394,-0.013060261598357456,5.064079364180962e-07,-2.259155411268171e-07
466734672.855985,-0.43898830268907035,-0.013058048948005174,1.0645569556988477e-06,-4.00126605137191e-07
466734762.971167,-0.43898862884295636,-0.01305815508512929,9.91173382092203e-07,-4.546767991917694e-07
466738920.625582,-0.43900093299112475,-0.013060280320218116,4.199442996677405e-07,-1.3241632580013318e-07
466739104.398394,-0.43900146193865575,-0.013060530704396535,4.130516952915997e-07,-2.716954250817083e-07
466739243.502367,-0.4390018701819777,-0.013060552450562798,4.0017809732617593e-07,-2.0918511421663677e-07
466739376.558374,-0.43900238492653865,-0.013060688595679498,2.6378254841530335e-07,-2.6461093056116824e-07
466739574.15517,-0.43900287348684297,-0.013060699585485195,3.374025044911022e-07,-1.555009530290058e-07
466739695.287967,-0.4390032759648259,-0.013060843426155362,2.797409142663021e-07,-2.2558372629426227e-07
466817857.566404,-0.43926240270473793,-0.01311524217339108,1.4854179495316089e-06,-5.429954865483061e-07
466818019.220808,-0.43926309448284373,-0.013115418105795135,1.3838343992378377e-06,-6.055063571045599e-07
466818135.256027,-0.43926338468358667,-0.013115413361872602,1.5173571553672716e-06,-5.193651683114281e-07
466818210.856019,-0.43926367932153154,-0.013115537116777078,1.4988236963775492e-06,-5.900951827522705e-07
466818338.296004,-0.4392642894530474,-0.013115505515307973,1.3541927315618985e-06,-4.691226602009102e-07
466819156.76322,-0.43926732147260755,-0.013116120675560304,1.3138344693852666e-06,-5.107442821658537e-07
466819319.368011,-0.43926797287074454,-0.013116291652582178,1.2572170512425984e-06,-5.678716743159895e-07
466819452.510399,-0.4392684516574695,-0.013116238778498886,1.265549860796078e-06,-4.218012854620423e-07
466819598.094401,-0.4392690209650204,-0.01311649414311462,1.2289924520847428e-06,-5.752869918877745e-07
466819687.086435,-0.43926935775760845,-0.013116392926350418,1.2179148914381877e-06,-4.1180780713245824e-07
466819765.278406,-0.439269615565462,-0.013116598895308938,1.2463295310793931e-06,-5.630792360364345e-07
466819961.752014,-0.4392703725717189,-0.013116686654105156,1.2086671346556166e-06,-5.13435779567542e-07
466820063.099201,-0.43927081009112723,-0.013116743788199993,1.1422921247228324e-06,-4.997144129065961e-07
466820135.848032,-0.4392710989604686,-0.013116755197601472,1.1198725484717897e-06,-4.602714103203037e-07
